ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:1902579	multi-organism localization	4/140	73/18670	0.002208863	0.01833356	0.014562132	KPNA2/RAN/NUP62/NDC1	4
BP	GO:0006282	regulation of DNA repair	5/140	122/18670	0.002267925	0.01875432	0.014896337	DHX9/RAD51/TIMELESS/TRIM28/AUNIP	5
BP	GO:0007135	meiosis II	2/140	10/18670	0.00241524	0.019656214	0.0156127	BUB1/BUB1B	2
BP	GO:0061983	meiosis II cell cycle process	2/140	10/18670	0.00241524	0.019656214	0.0156127	BUB1/BUB1B	2
BP	GO:0075522	IRES-dependent viral translational initiation	2/140	10/18670	0.00241524	0.019656214	0.0156127	EIF2D/PTBP1	2
BP	GO:1902101	positive regulation of metaphase/anaphase transition of cell cycle	2/140	10/18670	0.00241524	0.019656214	0.0156127	ESPL1/DLGAP5	2
BP	GO:0001736	establishment of planar polarity	5/140	124/18670	0.002434242	0.019656214	0.0156127	CDC42/PSMC6/RAC1/PSME3/PLEKHA4	5
BP	GO:0007164	establishment of tissue polarity	5/140	124/18670	0.002434242	0.019656214	0.0156127	CDC42/PSMC6/RAC1/PSME3/PLEKHA4	5
BP	GO:0002200	somatic diversification of immune receptors	4/140	75/18670	0.002438388	0.019656214	0.0156127	MSH6/MSH2/UNG/EXO1	4
BP	GO:0002285	lymphocyte activation involved in immune response	6/140	181/18670	0.002455417	0.019676906	0.015629136	MSH6/MSH2/UNG/EXO1/DOCK11/RC3H1	6
BP	GO:0051031	tRNA transport	3/140	36/18670	0.002458516	0.019676906	0.015629136	RAN/NUP62/NDC1	3
BP	GO:0019884	antigen processing and presentation of exogenous antigen	6/140	182/18670	0.002523768	0.020127275	0.015986859	KIF11/PSMC6/KIF23/PSME3/KIF2C/RACGAP1	6
BP	GO:0060236	regulation of mitotic spindle organization	3/140	37/18670	0.00266088	0.021145501	0.016795623	PLK1/NUP62/CHMP4B	3
BP	GO:0006298	mismatch repair	3/140	38/18670	0.002873234	0.022672246	0.018008299	MSH6/MSH2/EXO1	3
BP	GO:0097064	ncRNA export from nucleus	3/140	38/18670	0.002873234	0.022672246	0.018008299	RAN/NUP62/NDC1	3
BP	GO:0001731	formation of translation preinitiation complex	2/140	11/18670	0.002937479	0.02277817	0.018092433	EIF2D/TICRR	2
BP	GO:0046607	positive regulation of centrosome cycle	2/140	11/18670	0.002937479	0.02277817	0.018092433	PLK4/NUP62	2
BP	GO:0070269	pyroptosis	2/140	11/18670	0.002937479	0.02277817	0.018092433	DHX9/AIM2	2
BP	GO:1905820	positive regulation of chromosome separation	2/140	11/18670	0.002937479	0.02277817	0.018092433	ESPL1/DLGAP5	2
BP	GO:2000767	positive regulation of cytoplasmic translation	2/140	11/18670	0.002937479	0.02277817	0.018092433	DHX9/YTHDF2	2
BP	GO:0048002	antigen processing and presentation of peptide antigen	6/140	189/18670	0.003043071	0.023515596	0.018678162	KIF11/PSMC6/KIF23/PSME3/KIF2C/RACGAP1	6
BP	GO:0071478	cellular response to radiation	6/140	191/18670	0.003205133	0.024682827	0.01960528	CDC25A/ECT2/IFI16/RAD51/RP1/AURKB	6
BP	GO:0010833	telomere maintenance via telomere lengthening	4/140	82/18670	0.003370387	0.025866568	0.020545511	EXOSC10/RAD51/AURKB/PIF1	4
BP	GO:0007077	mitotic nuclear envelope disassembly	2/140	12/18670	0.003507694	0.026646586	0.02116507	PLK1/CCNB2	2
BP	GO:0070601	centromeric sister chromatid cohesion	2/140	12/18670	0.003507694	0.026646586	0.02116507	BUB1/BUB1B	2
BP	GO:0090148	membrane fission	2/140	12/18670	0.003507694	0.026646586	0.02116507	CORO1C/CHMP4B	2
BP	GO:0050434	positive regulation of viral transcription	3/140	41/18670	0.003571802	0.026950871	0.021406761	DHX9/POLR2D/RRP1B	3
BP	GO:0090224	regulation of spindle organization	3/140	41/18670	0.003571802	0.026950871	0.021406761	PLK1/NUP62/CHMP4B	3
BP	GO:0031032	actomyosin structure organization	6/140	199/18670	0.003918506	0.02946769	0.02340584	CDC42/ECT2/RAC1/KIF23/OBSL1/RACGAP1	6
BP	GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	4/140	86/18670	0.003999049	0.029972806	0.023807048	KIF11/KIF23/KIF2C/RACGAP1	4
BP	GO:0030866	cortical actin cytoskeleton organization	3/140	43/18670	0.004090237	0.030509743	0.024233531	ECT2/KIF23/RACGAP1	3
BP	GO:0046831	regulation of RNA export from nucleus	2/140	13/18670	0.004125146	0.030509743	0.024233531	DHX9/CPSF6	2
BP	GO:1902855	regulation of non-motile cilium assembly	2/140	13/18670	0.004125146	0.030509743	0.024233531	RP1/WRAP73	2
BP	GO:1902902	negative regulation of autophagosome assembly	2/140	13/18670	0.004125146	0.030509743	0.024233531	LRRK2/CHMP4B	2
BP	GO:0001738	morphogenesis of a polarized epithelium	5/140	141/18670	0.004225278	0.031045401	0.024658998	CDC42/PSMC6/RAC1/PSME3/PLEKHA4	5
BP	GO:0009411	response to UV	5/140	141/18670	0.004225278	0.031045401	0.024658998	CDC25A/MSH6/MSH2/AURKB/DTL	5
BP	GO:0051222	positive regulation of protein transport	9/140	418/18670	0.004317752	0.031621183	0.025116335	DHX9/ECT2/RAC1/RAN/AIM2/TRIM28/TARDBP/GTSE1/LRRK2	9
BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	9/140	419/18670	0.004385036	0.032009336	0.02542464	BUB1B/CCNF/PLK1/PSMC6/AURKB/KIF14/PSME3/WWP2/LRRK2	9
BP	GO:0044344	cellular response to fibroblast growth factor stimulus	5/140	143/18670	0.004484698	0.032630545	0.025918059	HNRNPH1/HNRNPM/POLR2D/PTBP1/IQGAP1	5
BP	GO:0048255	mRNA stabilization	3/140	45/18670	0.00465213	0.033630401	0.026712233	DHX9/YBX1/TARDBP	3
BP	GO:1902743	regulation of lamellipodium organization	3/140	45/18670	0.00465213	0.033630401	0.026712233	CDC42/RAC1/CORO1C	3
BP	GO:0070997	neuron death	8/140	348/18670	0.00478067	0.034398664	0.027322455	MAPT/MSH2/MYBL2/XRCC2/KIF14/NCSTN/LRRK2/CHMP4B	8
BP	GO:0072425	signal transduction involved in G2 DNA damage checkpoint	2/140	14/18670	0.004789104	0.034398664	0.027322455	PLK1/DTL	2
BP	GO:0030261	chromosome condensation	3/140	47/18670	0.005258491	0.037649448	0.029904515	NCAPH/NUSAP1/CDCA5	3
BP	GO:1903900	regulation of viral life cycle	5/140	149/18670	0.005330931	0.038046546	0.030219925	IFI16/ILF3/KPNA2/TRIM28/CHMP4B	5
BP	GO:0035567	non-canonical Wnt signaling pathway	5/140	150/18670	0.005482216	0.038873556	0.030876809	CDC42/PSMC6/RAC1/PSME3/PLEKHA4	5
BP	GO:0071774	response to fibroblast growth factor	5/140	150/18670	0.005482216	0.038873556	0.030876809	HNRNPH1/HNRNPM/POLR2D/PTBP1/IQGAP1	5
BP	GO:0032239	regulation of nucleobase-containing compound transport	2/140	15/18670	0.005498848	0.038873556	0.030876809	DHX9/CPSF6	2
BP	GO:0030865	cortical cytoskeleton organization	3/140	48/18670	0.005578641	0.03919039	0.031128467	ECT2/KIF23/RACGAP1	3
BP	GO:0061014	positive regulation of mRNA catabolic process	3/140	48/18670	0.005578641	0.03919039	0.031128467	HNRNPR/YTHDF2/RC3H1	3
BP	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	4/140	95/18670	0.0056935	0.039872294	0.031670095	CCNF/PSMC6/KIF14/PSME3	4
BP	GO:0034260	negative regulation of GTPase activity	3/140	49/18670	0.005910253	0.04113316	0.032671586	IQGAP1/RRP1B/LRRK2	3
BP	GO:0051445	regulation of meiotic cell cycle	3/140	49/18670	0.005910253	0.04113316	0.032671586	CDC25A/TTK/YTHDF2	3
BP	GO:0090316	positive regulation of intracellular protein transport	5/140	153/18670	0.005954268	0.041311193	0.032812996	ECT2/RAN/TRIM28/TARDBP/GTSE1	5
BP	GO:0010770	positive regulation of cell morphogenesis involved in differentiation	5/140	154/18670	0.006117789	0.042240907	0.033551456	CDC42/GDI1/MAPT/RAC1/OBSL1	5
BP	GO:0044773	mitotic DNA damage checkpoint	4/140	97/18670	0.006125968	0.042240907	0.033551456	MSH2/GTSE1/RFWD3/CLSPN	4
BP	GO:0043489	RNA stabilization	3/140	50/18670	0.006253433	0.042597126	0.033834398	DHX9/YBX1/TARDBP	3
BP	GO:0072698	protein localization to microtubule cytoskeleton	3/140	50/18670	0.006253433	0.042597126	0.033834398	STIL/TTK/NUP62	3
BP	GO:0030397	membrane disassembly	2/140	16/18670	0.006253661	0.042597126	0.033834398	PLK1/CCNB2	2
BP	GO:0051081	nuclear envelope disassembly	2/140	16/18670	0.006253661	0.042597126	0.033834398	PLK1/CCNB2	2
BP	GO:0060968	regulation of gene silencing	5/140	155/18670	0.006284445	0.042677098	0.033897918	DHX9/POLR2D/TRIM28/NUP62/NDC1	5
BP	GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	4/140	98/18670	0.006350171	0.042993155	0.034148958	KIF11/KIF23/KIF2C/RACGAP1	4
BP	GO:0048525	negative regulation of viral process	4/140	99/18670	0.006579761	0.044413388	0.035277033	IFI16/ILF3/TRIM28/TARDBP	4
BP	GO:0002181	cytoplasmic translation	4/140	100/18670	0.006814792	0.045724397	0.036318352	DHX9/EIF2D/YTHDF2/TICRR	4
BP	GO:0034446	substrate adhesion-dependent cell spreading	4/140	100/18670	0.006814792	0.045724397	0.036318352	CDC42/RAC1/KIF14/CORO1C	4
BP	GO:1900024	regulation of substrate adhesion-dependent cell spreading	3/140	52/18670	0.006974897	0.046366466	0.03682834	CDC42/RAC1/CORO1C	3
BP	GO:1902373	negative regulation of mRNA catabolic process	3/140	52/18670	0.006974897	0.046366466	0.03682834	DHX9/YBX1/TARDBP	3
BP	GO:0034501	protein localization to kinetochore	2/140	17/18670	0.007052839	0.046366466	0.03682834	TTK/AURKB	2
BP	GO:0048311	mitochondrion distribution	2/140	17/18670	0.007052839	0.046366466	0.03682834	MAPT/LRRK2	2
BP	GO:0061952	midbody abscission	2/140	17/18670	0.007052839	0.046366466	0.03682834	KIF20A/CHMP4B	2
BP	GO:0062033	positive regulation of mitotic sister chromatid segregation	2/140	17/18670	0.007052839	0.046366466	0.03682834	ESPL1/DLGAP5	2
BP	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	4/140	101/18670	0.007055317	0.046366466	0.03682834	KIF11/KIF23/KIF2C/RACGAP1	4
BP	GO:0001701	in utero embryonic development	8/140	373/18670	0.007172124	0.046996287	0.037328599	MSH2/NASP/STIL/XRCC2/CCNB2/TRIM28/PLK4/SMPD4	8
BP	GO:0019882	antigen processing and presentation	6/140	226/18670	0.00720731	0.047089157	0.037402365	KIF11/PSMC6/KIF23/PSME3/KIF2C/RACGAP1	6
BP	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	4/140	102/18670	0.007301389	0.047427286	0.037670936	CCNF/CDC25A/PLK1/CCNB2	4
BP	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	4/140	102/18670	0.007301389	0.047427286	0.037670936	KIF11/KIF23/KIF2C/RACGAP1	4
BP	GO:1904951	positive regulation of establishment of protein localization	9/140	456/18670	0.007506983	0.04862182	0.038619741	DHX9/ECT2/RAC1/RAN/AIM2/TRIM28/TARDBP/GTSE1/LRRK2	9
BP	GO:0000723	telomere maintenance	5/140	162/18670	0.007541443	0.048704246	0.038685211	EXOSC10/RAD51/EXO1/AURKB/PIF1	5
BP	GO:0010769	regulation of cell morphogenesis involved in differentiation	7/140	301/18670	0.00767834	0.049445865	0.03927427	CDC42/GDI1/MAPT/RAC1/OBSL1/CORO1C/LRRK2	7
BP	GO:0032210	regulation of telomere maintenance via telomerase	3/140	54/18670	0.007743792	0.049582393	0.039382713	EXOSC10/AURKB/PIF1	3
BP	GO:0090329	regulation of DNA-dependent DNA replication	3/140	54/18670	0.007743792	0.049582393	0.039382713	MSH6/TIMELESS/TICRR	3
BP	GO:0051782	negative regulation of cell division	2/140	18/18670	0.007895684	0.050410907	0.040040792	AURKB/ORC6	2
BP	GO:0044380	protein localization to cytoskeleton	3/140	55/18670	0.008146246	0.051862889	0.041194084	STIL/TTK/NUP62	3
BP	GO:1904029	regulation of cyclin-dependent protein kinase activity	4/140	106/18670	0.00834219	0.052959909	0.042065434	CCNF/CDC25A/PLK1/CCNB2	4
BP	GO:0098781	ncRNA transcription	4/140	107/18670	0.008616771	0.05454854	0.043327265	GTF3C2/POLR2D/TAF5/SIRT7	4
BP	GO:0046777	protein autophosphorylation	6/140	235/18670	0.008651397	0.054613465	0.043378835	CAD/TTK/IQGAP1/AURKB/TRIM28/LRRK2	6
BP	GO:0034063	stress granule assembly	2/140	19/18670	0.008781505	0.055124239	0.043784536	MAPT/G3BP1	2
BP	GO:0048025	negative regulation of mRNA splicing, via spliceosome	2/140	19/18670	0.008781505	0.055124239	0.043784536	PTBP1/SRSF7	2
BP	GO:1901214	regulation of neuron death	7/140	313/18670	0.009406241	0.058880964	0.046768459	MAPT/MSH2/MYBL2/XRCC2/KIF14/LRRK2/CHMP4B	7
BP	GO:0006271	DNA strand elongation involved in DNA replication	2/140	20/18670	0.00970962	0.059942863	0.047611913	MCM3/MCM4	2
BP	GO:0010592	positive regulation of lamellipodium assembly	2/140	20/18670	0.00970962	0.059942863	0.047611913	CDC42/RAC1	2
BP	GO:0032211	negative regulation of telomere maintenance via telomerase	2/140	20/18670	0.00970962	0.059942863	0.047611913	EXOSC10/PIF1	2
BP	GO:0035458	cellular response to interferon-beta	2/140	20/18670	0.00970962	0.059942863	0.047611913	IFI16/AIM2	2
BP	GO:1901673	regulation of mitotic spindle assembly	2/140	20/18670	0.00970962	0.059942863	0.047611913	PLK1/CHMP4B	2
BP	GO:0045071	negative regulation of viral genome replication	3/140	59/18670	0.009877944	0.060647868	0.04817189	IFI16/ILF3/TRIM28	3
BP	GO:1902369	negative regulation of RNA catabolic process	3/140	59/18670	0.009877944	0.060647868	0.04817189	DHX9/YBX1/TARDBP	3
BP	GO:0010498	proteasomal protein catabolic process	9/140	477/18670	0.009911273	0.060686236	0.048202365	BUB1B/CCNF/PLK1/PSMC6/AURKB/KIF14/PSME3/WWP2/LRRK2	9
BP	GO:0032200	telomere organization	5/140	175/18670	0.010322748	0.062806876	0.049886764	EXOSC10/RAD51/EXO1/AURKB/PIF1	5
BP	GO:0051893	regulation of focal adhesion assembly	3/140	60/18670	0.010341694	0.062806876	0.049886764	RAC1/IQGAP1/CORO1C	3
BP	GO:0090109	regulation of cell-substrate junction assembly	3/140	60/18670	0.010341694	0.062806876	0.049886764	RAC1/IQGAP1/CORO1C	3
BP	GO:0060964	regulation of gene silencing by miRNA	4/140	113/18670	0.010388781	0.062922317	0.049978458	DHX9/POLR2D/NUP62/NDC1	4
BP	GO:0048026	positive regulation of mRNA splicing, via spliceosome	2/140	21/18670	0.010679355	0.064334499	0.051100138	TRA2B/DAZAP1	2
BP	GO:1904469	positive regulation of tumor necrosis factor secretion	2/140	21/18670	0.010679355	0.064334499	0.051100138	DHX9/LRRK2	2
BP	GO:0051099	positive regulation of binding	5/140	179/18670	0.011303244	0.067568439	0.053668818	DHX9/RAN/TRIM28/CDCA5/LRRK2	5
BP	GO:0002260	lymphocyte homeostasis	3/140	62/18670	0.011306633	0.067568439	0.053668818	CCNB2/DOCK11/RC3H1	3
BP	GO:1904356	regulation of telomere maintenance via telomere lengthening	3/140	62/18670	0.011306633	0.067568439	0.053668818	EXOSC10/AURKB/PIF1	3
BP	GO:1901796	regulation of signal transduction by p53 class mediator	5/140	180/18670	0.011557952	0.068703899	0.054570701	TAF5/EXO1/AURKB/BRD7/PAK1IP1	5
BP	GO:1905330	regulation of morphogenesis of an epithelium	5/140	180/18670	0.011557952	0.068703899	0.054570701	CDC42/PSMC6/RAC1/PSME3/PLEKHA4	5
BP	GO:0060147	regulation of posttranscriptional gene silencing	4/140	117/18670	0.011692068	0.069134367	0.054912616	DHX9/POLR2D/NUP62/NDC1	4
BP	GO:0060966	regulation of gene silencing by RNA	4/140	117/18670	0.011692068	0.069134367	0.054912616	DHX9/POLR2D/NUP62/NDC1	4
BP	GO:0016072	rRNA metabolic process	6/140	253/18670	0.012143909	0.071617104	0.056884626	GTF3C2/MAPT/EXOSC10/RRP1B/MRTO4/SIRT7	6
BP	GO:0071214	cellular response to abiotic stimulus	7/140	331/18670	0.012510368	0.073391973	0.058294383	CDC25A/ECT2/IFI16/RAC1/RAD51/RP1/AURKB	7
BP	GO:0104004	cellular response to environmental stimulus	7/140	331/18670	0.012510368	0.073391973	0.058294383	CDC25A/ECT2/IFI16/RAC1/RAD51/RP1/AURKB	7
BP	GO:2000045	regulation of G1/S transition of mitotic cell cycle	5/140	184/18670	0.012615913	0.073817916	0.058632704	KIF14/PSME3/BRD7/GTSE1/RFWD3	5
BP	GO:0090140	regulation of mitochondrial fission	2/140	23/18670	0.01274102	0.074355794	0.059059934	MAPT/LRRK2	2
BP	GO:0045739	positive regulation of DNA repair	3/140	65/18670	0.012848457	0.07478803	0.059403254	DHX9/TIMELESS/TRIM28	3
BP	GO:0019079	viral genome replication	4/140	122/18670	0.013463176	0.078163153	0.062084075	CDC42/IFI16/ILF3/TRIM28	4
BP	GO:0043902	positive regulation of multi-organism process	5/140	188/18670	0.013737718	0.079550973	0.063186404	DHX9/KPNA2/POLR2D/RRP1B/CHMP4B	5
BP	GO:0033119	negative regulation of RNA splicing	2/140	24/18670	0.013831639	0.079888407	0.063454424	PTBP1/SRSF7	2
BP	GO:0051056	regulation of small GTPase mediated signal transduction	7/140	338/18670	0.013897253	0.080061038	0.063591543	CDC42/ECT2/GDI1/RAC1/KIF14/NUP62/RACGAP1	7
BP	GO:1903391	regulation of adherens junction organization	3/140	67/18670	0.013939842	0.080100479	0.06362287	RAC1/IQGAP1/CORO1C	3
BP	GO:0051101	regulation of DNA binding	4/140	124/18670	0.01421681	0.081483049	0.06472103	IFI16/TRIM28/HJURP/CDCA5	4
BP	GO:0008334	histone mRNA metabolic process	2/140	25/18670	0.014961253	0.084867763	0.067409468	EXOSC10/SNRPD3	2
BP	GO:0045724	positive regulation of cilium assembly	2/140	25/18670	0.014961253	0.084867763	0.067409468	RP1/WRAP73	2
BP	GO:0051894	positive regulation of focal adhesion assembly	2/140	25/18670	0.014961253	0.084867763	0.067409468	RAC1/IQGAP1	2
BP	GO:2000104	negative regulation of DNA-dependent DNA replication	2/140	25/18670	0.014961253	0.084867763	0.067409468	MSH6/TIMELESS	2
BP	GO:0018107	peptidyl-threonine phosphorylation	4/140	126/18670	0.014996713	0.084867763	0.067409468	CAD/PLK1/TTK/LRRK2	4
BP	GO:0007219	Notch signaling pathway	5/140	193/18670	0.015232183	0.08598318	0.068295431	YBX1/DLGAP5/WWP2/NCSTN/YTHDF2	5
BP	GO:0045727	positive regulation of translation	4/140	127/18670	0.015396603	0.086692933	0.068859179	DHX9/POLR2D/VIM/YTHDF2	4
BP	GO:0007004	telomere maintenance via telomerase	3/140	70/18670	0.015672971	0.088027888	0.069919519	EXOSC10/AURKB/PIF1	3
BP	GO:0006346	methylation-dependent chromatin silencing	2/140	26/18670	0.016129226	0.090363987	0.071775054	HELLS/TRIM28	2
BP	GO:0071897	DNA biosynthetic process	5/140	196/18670	0.016179189	0.090417864	0.071817848	CENPF/EXOSC10/AURKB/DTL/PIF1	5
BP	GO:0071479	cellular response to ionizing radiation	3/140	71/18670	0.016276424	0.090734992	0.072069739	ECT2/IFI16/RAD51	3
BP	GO:1902036	regulation of hematopoietic stem cell differentiation	3/140	72/18670	0.016892795	0.093937355	0.074613338	PSMC6/PSME3/YTHDF2	3
BP	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	2/140	27/18670	0.017334926	0.094790096	0.075290661	CDC25A/DTL	2
BP	GO:0022616	DNA strand elongation	2/140	27/18670	0.017334926	0.094790096	0.075290661	MCM3/MCM4	2
BP	GO:0043921	modulation by host of viral transcription	2/140	27/18670	0.017334926	0.094790096	0.075290661	RRP1B/TARDBP	2
BP	GO:0052472	modulation by host of symbiont transcription	2/140	27/18670	0.017334926	0.094790096	0.075290661	RRP1B/TARDBP	2
BP	GO:0090169	regulation of spindle assembly	2/140	27/18670	0.017334926	0.094790096	0.075290661	PLK1/CHMP4B	2
BP	GO:1904357	negative regulation of telomere maintenance via telomere lengthening	2/140	27/18670	0.017334926	0.094790096	0.075290661	EXOSC10/PIF1	2
BP	GO:0060249	anatomical structure homeostasis	8/140	437/18670	0.017342231	0.094790096	0.075290661	EXOSC10/RAC1/RAD51/RP1/EXO1/AURKB/PIF1/CHMP4B	8
BP	GO:0072401	signal transduction involved in DNA integrity checkpoint	3/140	73/18670	0.017522107	0.095264084	0.075667144	PLK1/GTSE1/DTL	3
BP	GO:0072422	signal transduction involved in DNA damage checkpoint	3/140	73/18670	0.017522107	0.095264084	0.075667144	PLK1/GTSE1/DTL	3
BP	GO:0010256	endomembrane system organization	8/140	438/18670	0.017556478	0.095264084	0.075667144	CDC42/PLK1/CCNB2/OBSL1/TARDBP/CORO1C/LRRK2/CHMP4B	8
BP	GO:0072395	signal transduction involved in cell cycle checkpoint	3/140	74/18670	0.018164378	0.098222277	0.078016802	PLK1/GTSE1/DTL	3
BP	GO:1902806	regulation of cell cycle G1/S phase transition	5/140	202/18670	0.01818931	0.098222277	0.078016802	KIF14/PSME3/BRD7/GTSE1/RFWD3	5
BP	GO:0018210	peptidyl-threonine modification	4/140	134/18670	0.018384411	0.099037173	0.078664064	CAD/PLK1/TTK/LRRK2	4
BP	GO:0035456	response to interferon-beta	2/140	28/18670	0.018577732	0.099125469	0.078734196	IFI16/AIM2	2
BP	GO:0050686	negative regulation of mRNA processing	2/140	28/18670	0.018577732	0.099125469	0.078734196	PTBP1/SRSF7	2
BP	GO:0051984	positive regulation of chromosome segregation	2/140	28/18670	0.018577732	0.099125469	0.078734196	ESPL1/DLGAP5	2
BP	GO:0052312	modulation of transcription in other organism involved in symbiotic interaction	2/140	28/18670	0.018577732	0.099125469	0.078734196	RRP1B/TARDBP	2
CC	GO:0098687	chromosomal region	29/143	349/19717	1.34734E-22	4.20369E-20	3.03505E-20	BUB1/BUB1B/CENPA/CENPF/HELLS/INCENP/MCM2/MCM3/MCM4/MCM5/MCM6/MSH2/ORC1/PLK1/RAD51/TTK/AURKB/KIF2C/ZWINT/OIP5/SIRT7/MIS18A/ERCC6L/ZWILCH/CDCA8/HJURP/CENPH/PIF1/CDCA5	29
CC	GO:0000775	chromosome, centromeric region	19/143	193/19717	1.98656E-16	3.09904E-14	2.2375E-14	BUB1/BUB1B/CENPA/CENPF/HELLS/INCENP/PLK1/TTK/AURKB/KIF2C/ZWINT/OIP5/MIS18A/ERCC6L/ZWILCH/CDCA8/HJURP/CENPH/CDCA5	19
CC	GO:0005819	spindle	22/143	347/19717	7.9555E-15	8.27372E-13	5.97361E-13	BUB1B/CDC42/CENPF/ECT2/INCENP/KIF11/KIFC1/PLK1/TTK/AURKB/KIF23/ESPL1/DLGAP5/KIF14/KIF20A/NUP62/RACGAP1/NUSAP1/CDCA8/CEP85/AUNIP/WDR62	22
CC	GO:0000793	condensed chromosome	18/143	223/19717	4.22633E-14	3.29654E-12	2.38009E-12	BUB1/BUB1B/CENPA/CENPF/RCC1/FANCD2/INCENP/PLK1/RAD51/AURKB/KIF2C/ZWINT/NCAPH/ERCC6L/ZWILCH/HJURP/CENPH/CDCA5	18
CC	GO:0030496	midbody	16/143	173/19717	1.42514E-13	8.89284E-12	6.42061E-12	CDC42/CENPF/ECT2/GDI1/INCENP/PLK1/RAN/IQGAP1/AURKB/KIF23/KIF14/KIF20A/NUP62/RACGAP1/CDCA8/CHMP4B	16
CC	GO:0000776	kinetochore	14/143	135/19717	1.05245E-12	5.47275E-11	3.95131E-11	BUB1/BUB1B/CENPA/CENPF/INCENP/PLK1/TTK/AURKB/KIF2C/ZWINT/ERCC6L/ZWILCH/HJURP/CENPH	14
CC	GO:0000779	condensed chromosome, centromeric region	13/143	118/19717	3.2063E-12	1.42909E-10	1.0318E-10	BUB1/BUB1B/CENPA/CENPF/INCENP/PLK1/AURKB/KIF2C/ZWINT/ERCC6L/ZWILCH/HJURP/CENPH	13
CC	GO:0000777	condensed chromosome kinetochore	12/143	105/19717	1.45555E-11	5.67663E-10	4.09851E-10	BUB1/BUB1B/CENPA/CENPF/INCENP/PLK1/KIF2C/ZWINT/ERCC6L/ZWILCH/HJURP/CENPH	12
CC	GO:0042555	MCM complex	6/143	12/19717	1.1675E-10	4.04732E-09	2.92216E-09	MCM2/MCM3/MCM4/MCM5/MCM6/TONSL	6
CC	GO:0072686	mitotic spindle	10/143	109/19717	6.7825E-09	2.11614E-07	1.52785E-07	CDC42/ECT2/KIF11/KIFC1/AURKB/KIF23/ESPL1/NUP62/RACGAP1/NUSAP1	10
CC	GO:0035770	ribonucleoprotein granule	13/143	223/19717	9.15459E-09	2.59658E-07	1.87472E-07	CDC42/DHX9/HNRNPL/MAPT/YBX1/POLR2D/RAC1/IQGAP1/G3BP1/TARDBP/YTHDF2/RC3H1/TUBB	13
CC	GO:0000784	nuclear chromosome, telomeric region	10/143	125/19717	2.55727E-08	6.6489E-07	4.80049E-07	MCM2/MCM3/MCM4/MCM5/MCM6/MSH2/ORC1/RAD51/SIRT7/PIF1	10
CC	GO:0000794	condensed nuclear chromosome	9/143	99/19717	4.2881E-08	1.02914E-06	7.43039E-07	BUB1/BUB1B/CENPA/RCC1/INCENP/PLK1/RAD51/AURKB/NCAPH	9
CC	GO:0036464	cytoplasmic ribonucleoprotein granule	12/143	212/19717	4.83318E-08	1.07711E-06	7.7767E-07	CDC42/DHX9/MAPT/YBX1/POLR2D/RAC1/IQGAP1/G3BP1/TARDBP/YTHDF2/RC3H1/TUBB	12
CC	GO:0005874	microtubule	16/143	416/19717	6.13493E-08	1.27607E-06	9.21316E-07	INCENP/KIF11/KIFC1/MAPT/PLK1/RP1/IQGAP1/AURKB/KIF23/KIF14/KIF20A/KIF2C/RACGAP1/NUSAP1/GTSE1/TUBB	16
CC	GO:0005681	spliceosomal complex	11/143	185/19717	1.08644E-07	2.11855E-06	1.52959E-06	HNRNPH1/HNRNPM/YBX1/SRSF2/TRA2B/SNRPD1/SNRPD3/BUD31/SNRNP40/HNRNPR/SF3B3	11
CC	GO:0051233	spindle midzone	6/143	34/19717	1.49026E-07	2.73506E-06	1.97471E-06	CDC42/PLK1/AURKB/KIF14/RACGAP1/CDCA8	6
CC	GO:0071013	catalytic step 2 spliceosome	8/143	87/19717	2.26682E-07	3.92915E-06	2.83684E-06	HNRNPH1/HNRNPM/SNRPD1/SNRPD3/BUD31/SNRNP40/HNRNPR/SF3B3	8
CC	GO:0000781	chromosome, telomeric region	10/143	161/19717	2.80184E-07	4.60092E-06	3.32185E-06	MCM2/MCM3/MCM4/MCM5/MCM6/MSH2/ORC1/RAD51/SIRT7/PIF1	10
CC	GO:0000790	nuclear chromatin	14/143	377/19717	6.55197E-07	1.02211E-05	7.37959E-06	CENPA/RCC1/DHX9/MSH6/NASP/RAD51/TAF5/BUD31/TIMELESS/TRIM28/CPSF6/TARDBP/SIRT7/CDCA5	14
CC	GO:0000780	condensed nuclear chromosome, centromeric region	5/143	26/19717	1.08843E-06	1.6171E-05	1.16754E-05	BUB1/BUB1B/CENPA/PLK1/AURKB	5
CC	GO:0005875	microtubule associated complex	9/143	152/19717	1.67883E-06	2.38088E-05	1.71899E-05	KIF11/KIFC1/RP1/AURKB/KIF23/KIF14/KIF20A/KIF2C/CDCA8	9
